#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
63,3,CF,0,7A,6,76,FA,D6,FE,36,3,19,0,0,0,0,0,0,D,A0
64,3,F2,0,78,6,32,FA,43,FE,74,3,7B,0,0,0,0,0,0,D,30
65,3,FB,0,18,6,60,FA,D,FE,F1,3,C4,0,0,0,0,0,0,E,10
66,4,10,FF,5C,7,3,FB,2E,FF,15,3,82,0,0,0,0,0,0,E,0
67,4,0,FE,A2,7,9B,FC,16,FE,53,3,17,0,0,0,0,0,0,D,60
68,4,33,FE,E6,6,B1,FD,D2,FD,6E,2,A2,0,0,0,0,0,0,E,0
69,4,35,FF,7,6,A3,FD,EB,FD,8C,2,97,0,0,0,0,0,0,D,A0
70,4,1D,FF,D8,5,FD,FD,C9,FD,DF,2,ED,0,0,0,0,0,0,D,90
71,4,23,FF,C1,6,9,FD,65,FE,A6,4,28,0,0,0,0,0,0,D,A0
72,4,2D,FE,61,5,FB,FE,57,FF,F,4,9D,0,0,0,0,0,0,D,A0
73,4,30,FD,92,6,4A,FF,6F,FF,6B,3,F1,0,0,0,0,0,0,D,A0
74,4,52,FD,CD,6,98,0,11,FF,54,3,50,0,0,0,0,0,0,D,70
75,4,4B,FE,E1,6,2E,0,38,FF,76,3,5A,0,0,0,0,0,0,D,C0
76,4,42,FF,4,5,BF,FF,D7,0,1E,4,41,0,0,0,0,0,0,E,0
77,4,28,FF,52,5,D2,FF,47,0,BC,5,39,0,0,0,0,0,0,D,50
78,4,2E,FF,1,5,84,FE,FE,1,A5,5,E6,0,0,0,0,0,0,D,D0
79,4,6,FE,24,6,36,FE,28,2,2D,6,7E,0,0,0,0,0,0,D,A0
80,3,A5,FD,1B,6,D0,FD,AE,2,6,6,60,0,0,0,0,0,0,D,A0
81,3,BD,FB,8B,7,9D,FD,9F,1,86,5,B1,0,0,0,0,0,0,D,C0
82,3,A0,FB,51,7,47,FF,2E,0,95,4,1A,0,0,0,0,0,0,D,D0
83,3,AE,FB,FB,6,81,FE,F7,0,16,2,82,0,0,0,0,0,0,D,90
84,3,8B,FC,50,6,9E,FE,EF,0,A9,2,E,0,0,0,0,0,0,D,A0
