0,0,4,FF,7A,8,1E,0,17,FF,F8,0,A5,0,0,0,0,0,0,B,C0
1,0,4,FF,7A,8,1E,FF,FC,0,1,0,4A,0,0,0,0,0,0,B,B0
2,FF,DD,0,2C,7,F7,0,15,FF,F7,0,88,0,0,0,0,0,0,B,90
3,FF,E2,FF,FF,8,1A,0,1C,FF,FC,0,9A,0,0,0,0,0,0,A,E0
4,0,3,FF,B6,8,C,0,52,0,6,0,87,0,0,0,0,0,0,B,90
5,FF,F4,FF,EC,8,0,0,61,0,3,0,55,0,0,0,0,0,0,B,80
6,FF,F8,FF,E7,7,F5,0,3E,FF,FB,0,39,0,0,0,0,0,0,B,50
7,0,7,FF,83,8,39,0,58,0,4,0,6E,0,0,0,0,0,0,B,60
8,FF,FB,FF,C8,7,FD,0,2F,0,1,0,3B,0,0,0,0,0,0,B,60
9,FF,F2,FF,EF,8,6,0,4A,FF,FF,0,12,0,0,0,0,0,0,B,60
10,FF,E4,0,2A,8,6,0,41,FF,FE,0,2E,0,0,0,0,0,0,B,20
11,FF,55,1,DA,7,D1,1,37,0,F,1,B6,0,0,0,0,0,0,B,50
12,0,22,FF,47,8,10,0,54,0,8,2,50,0,0,0,0,0,0,B,40
13,0,22,FF,47,8,10,0,18,0,3,1,68,0,0,0,0,0,0,B,C0
14,0,2,FF,BF,8,3,0,10,FF,FC,0,EE,0,0,0,0,0,0,B,40
15,FF,E5,0,32,7,F8,FF,E0,0,0,1,27,0,0,0,0,0,0,B,80
16,FF,D8,0,32,8,6,FF,E3,FF,FE,1,40,0,0,0,0,0,0,B,90
17,0,C,0,D1,7,0,FF,BC,FF,E4,1,F9,0,0,0,0,0,0,B,90
18,FF,B8,0,8A,7,EE,FF,EF,0,2,2,EE,0,0,0,0,0,0,B,60
19,FF,D3,0,6D,8,2,FF,EF,0,D,3,8A,0,0,0,0,0,0,B,90
20,0,E0,FD,32,7,F3,0,1,0,4,0,37,0,0,0,0,0,0,A,D0
21,0,6,FF,D1,7,CF,0,1F,FF,F8,FF,F0,0,0,0,0,0,0,B,60
22,0,47,FF,56,7,F3,0,F,FF,FE,FF,3,0,0,0,0,0,0,B,90
23,FF,6B,1,1F,7,ED,FF,FF,0,3,FF,A0,0,0,0,0,0,0,B,50
